state,incidents
Alabama,11376
Alaska,1617
Arizona,12871
Arkansas,6947
California,99782
Colorado,6593
Connecticut,4896
Delaware,1179
District of Columbia,7115
Florida,37149
Georgia,21088
Hawaii,1338
Idaho,1150
Illinois,25871
Indiana,11463
Iowa,1749
Kansas,3085
Kentucky,6554
Louisiana,19628
Maine,869
Maryland,17312
Massachusetts,6035
Michigan,28448
Minnesota,3975
Mississippi,6546
Missouri,14832
Montana,601
Nebraska,1331
Nevada,5553
New Hampshire,655
New Jersey,14037
New Mexico,4272
New York,49268
North Carolina,20390
North Dakota,308
Ohio,19158
Oklahoma,8809
Oregon,4217
Pennsylvania,24236
Rhode Island,1211
South Carolina,11698
South Dakota,442
Tennessee,14930
Texas,62095
Utah,2033
Vermont,412
Virginia,15520
Washington,7815
West Virginia,3061
Wisconsin,6191
Wyoming,630
